taxa_no,Season,d13C,d15N,habitat,Taxon,Guild
7,2,-27.88,0.81,Forest,Tipulidae,Detritivore-A
7,2,-28.64,-0.12,Forest,Tipulidae,Detritivore-A
7,2,-27.79,1.9,Forest,Tipulidae,Detritivore-A
7,2,-28.31,-0.08,Coffee,Tipulidae,Detritivore-A
8,2,-29.62,1.26,Forest,Calamoceratidae,Detritivore-A
8,2,-26.69,3.68,Forest,Calamoceratidae,Detritivore-A
8,1,-27.81,1.8902,Coffee,Calamoceratidae,Detritivore-A
8,2,-29.12,0.05,Pasture,Calamoceratidae,Detritivore-A
8,2,-26.72,0.5,Pasture,Calamoceratidae,Detritivore-A
9,2,-27.03,2.37,Forest,Hydropsychidae,Omnivore-A
9,2,-27.25,1.25,Forest,Hydropsychidae,Omnivore-A
9,2,-27.24,6.38,Forest,Hydropsychidae,Omnivore-A
9,2,-25.94,4.3,Coffee,Hydropsychidae,Omnivore-A
10,2,-25.82,5.37,Forest,Decapoda,Detritivore-A
10,1,-28.73,3.38,Coffee,Decapoda,Detritivore-A
10,2,-26.9,3.54,Coffee,Decapoda,Detritivore-A
10,2,-26.14,2.07,Coffee,Decapoda,Detritivore-A
10,2,-25.44,1.45,Pasture,Decapoda,Detritivore-A
10,2,-23.16,3.04,Pasture,Decapoda,Detritivore-A
11,2,-24.86,3.26,Forest,Renacuajo,Herbivore-A
11,2,-26.41,3.49,Forest,Renacuajo,Herbivore-A
11,2,-28.14,7.75,Forest,Renacuajo,Herbivore-A
11,1,-29.73,5.17,Coffee,Renacuajo,Herbivore-A
11,2,-29.19,6.6,Coffee,Renacuajo,Herbivore-A
11,2,-27.49,4.22,Coffee,Renacuajo,Herbivore-A
11,2,-26.65,2.73,Coffee,Renacuajo,Herbivore-A
11,2,-25.77,3.52,Pasture,Renacuajo,Herbivore-A
11,2,-33.68,4.54,Pasture,Renacuajo,Herbivore-A
12,2,-26.94,1.86,Forest,Odonata,Predator-A
12,2,-23.1,2.73,Forest,Odonata,Predator-A
12,2,-27.14,6.34,Forest,Odonata,Predator-A
12,2,-24.65,9,Forest,Odonata,Predator-A
12,2,-24.66,9.01,Forest,Odonata,Predator-A
12,1,-27.01,4.1,Coffee,Odonata,Predator-A
12,2,-25.76,4.95,Coffee,Odonata,Predator-A
12,2,-26.06,3.87,Coffee,Odonata,Predator-A
12,2,-25.65,5.5,Coffee,Odonata,Predator-A
12,2,-26.32,1.94,Pasture,Odonata,Predator-A
12,2,-25.62,5.06,Pasture,Odonata,Predator-A
13,2,-24.83,3.86,Forest,Plecoptera,Predator-A
13,2,-28.62,0.3,Forest,Plecoptera,Predator-A
13,2,-27.3,7.83,Forest,Plecoptera,Predator-A
13,1,-26.46,5.3532,Coffee,Plecoptera,Predator-A
13,2,-26.69,5.4,Coffee,Plecoptera,Predator-A
13,2,-26.26,3.98,Coffee,Plecoptera,Predator-A
13,2,-26.33,5.3,Coffee,Plecoptera,Predator-A
13,2,-27.17,8.53,Pasture,Plecoptera,Predator-A
13,2,-23.55,4.9,Pasture,Plecoptera,Predator-A
14,2,-26.45,6.04,Forest,Belostomatidae,Predator-A
14,2,-26.62,4.9,Coffee,Belostomatidae,Predator-A
14,2,-26.93,2.45,Coffee,Belostomatidae,Predator-A
14,2,-26.33,4.8,Coffee,Belostomatidae,Predator-A
14,2,-33.38,-1.55,Pasture,Belostomatidae,Predator-A
15,2,-26.87,6.38,Forest,Megaloptera,Predator-A
15,2,-25.64,1.91,Coffee,Megaloptera,Predator-A
15,2,-26.13,4.5,Coffee,Megaloptera,Predator-A
15,2,-26.17,1.42,Pasture,Megaloptera,Predator-A
16,2,-26.32,8.43,Forest,Pisces,Omnivore-A
16,2,-26.65,7.61,Coffee,Pisces,Omnivore-A
16,2,-25.96,8.36,Coffee,Pisces,Omnivore-A
